Name,Url,Rating,Review_vol,Hotel_name,Address,Ranking,Description,Class,Language,Hotel_styles
The Fullerton Ocean Park Hotel Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d24150221-Reviews-The_Fullerton_Ocean_Park_Hotel_Hong_Kong-Hong_Kong.html?spAttributionToken=MjE4MjQ3MjQ#REVIEWS,4.5,1065,The Fullerton Ocean Park Hotel Hong Kong,"3 Ocean Drive, Aberdeen, Hong Kong China",#83 of 802 hotels in Hong Kong,,,"English, Chinese",[]
1. Nina Hotel Tsuen Wan West,https://www.tripadvisor.com/Hotel_Review-g294217-d649076-Reviews-Nina_Hotel_Tsuen_Wan_West-Hong_Kong.html#REVIEWS,4.5,5309,Nina Hotel Tsuen Wan West,"8 Yeung Uk Road Tsuen Wan, Hong Kong China",#9 of 802 hotels in Hong Kong,"Nina Hotel Tsuen Wan West is a genuine Hong Kong landmark that presides over the Kowloon Peninsula’s Western edge. Standing between Tai Mo Shan mountain and the Rambler Channel, it was originally planned to be the world’s tallest building. However, its proximity to the airport flightpath led to it becoming the two sparkling sister towers of today. This Nina’s location is packed with appeals. Firstly, getting here is easy. It’s less than 20 minutes by road from Central, Tsim Sha Tsui is a 12 minute train ride, and the international airport is 25 minutes by the highway. So you see, it’s an efficient base from which to explore. But be warned, you may not want to leave.
Read more",5.0 of 5 stars,"English, Chinese, Japanese, Malay","['', 'Value', 'Bay View']"
2. Royal Plaza Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d305909-Reviews-Royal_Plaza_Hotel-Hong_Kong.html#REVIEWS,4.5,5723,Royal Plaza Hotel,"193 Prince Edward Road West, Kowloon, Hong Kong China",#46 of 802 hotels in Hong Kong,"Located in Mong Kok, the bustling heart of vibrant Kowloon, Royal Plaza Hotel sits atop the MTR Mong Kok East Station with connecting point to China on a 45-minute train ride and is easy access to public transportation. The Hotel is connected to a seven storey shopping complex and numerous traditional markets with its abundance of stalls ans shops for fashion and electronic appliances are within a 10-minute walk from the hotel's doorstep. Awarded as ""Travel Choice - Family Hotel 2014"" by Tripadvisor, the newly renovated rooms with a choice of two queen-sized beds in a superior space, which is designed to more than comfortably accommodate families and groups comprised of 4 guests. The hotel features free Wi-Fi in all guestrooms, a 40-metre swimming pool, a well-equipped gymnasium and three restaurants and bar.
Read more",5.0 of 5 stars,"English, Chinese","['', 'Value', 'Business']"
3. Page148,https://www.tripadvisor.com/Hotel_Review-g294217-d15661619-Reviews-Page148-Hong_Kong.html#REVIEWS,4.5,802,Page148,"148 Austin Road, Tsim Sha Tsui, Kowloon, Hong Kong China",#45 of 802 hotels in Hong Kong,"If what you're looking for is a conveniently located property in Hong Kong, look no further than Page148. Situated at Tsim Sha Tsui, guests are well located to enjoy the town's attractions and activities. All rooms provide a refreshing greenery view facing Kowloon Cricket Club. Free Wi-Fi, 24-hour security, flat screen TV, and an air-purifier available at all rooms. The uncluttered bathrooms feature Australian brand bathroom amenities, hair dryers and large mirrors to get ready for a day of adventure. 8min walk to both Tsim Sha Tsui and Jordan MTR stations, and just 10 min ride from the Express Rail Link Hong Kong West Kowloon Station. Page Common, a renowned coffee house located on G/F where you can get specialty coffee and pastries. Express check-out available. 「都會旅人‧共享見聞」於尖沙咀Page148晉緻酒店體驗不一樣的型格舒適享受。進入酒店便被咖啡香包圍, 展開寫意旅程; 都市時尚型格設計，所有房間皆配置落地大玻璃窗，整片草綠景緻進入眼簾。每間客房均配備43吋等離子平面電視機、舒適寢具及智能空氣凈化器。每間浴室設計時尚舒適，提供澳洲品牌APPELLES浴室個人用品，並配備吹髮器及敞大玻璃鏡，讓客人每天清新悅目地開啟精彩的一天。酒店位置四通八達，步行至尖沙咀及佐敦地鐵站只需數分鐘，無論是大型國際商場或是香港特色小店，盡在咫尺。離接駁機場快線的九龍站或廣深港高速鐵路的香港西九龍站只需10分鐘車程。
Read more",4.0 of 5 stars,"English, Chinese","['', 'Charming', 'Trendy']"
4. The Fullerton Ocean Park Hotel Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d24150221-Reviews-The_Fullerton_Ocean_Park_Hotel_Hong_Kong-Hong_Kong.html#REVIEWS,4.5,1065,The Fullerton Ocean Park Hotel Hong Kong,"3 Ocean Drive, Aberdeen, Hong Kong China",#83 of 802 hotels in Hong Kong,,,"English, Chinese",[]
5. Hotel ICON,https://www.tripadvisor.com/Hotel_Review-g294217-d2031570-Reviews-Hotel_ICON-Hong_Kong.html#REVIEWS,5.0,9320,Hotel ICON,"No.17 Science Museum Road, Tsim Sha Tsui East, Kowloon, Hong Kong China",#7 of 802 hotels in Hong Kong,"A hotel unlike any other. Welcome to a different world. Hotel ICON is a unique hotel designed by celebrated architects Terence Conran, Rocco Yim and William Lim. Breathtaking open public spaces, a striking vertical garden by Patrick Blanc, a grand sweeping staircase, innovative guest rooms and three vibrant dining spaces radiate contemporary style. We offer our guests traditional Asian hospitality, with all its courteous and attentive qualities – but in a refreshingly modern, stylish and international environment.",5.0 of 5 stars,"English, Chinese, Korean","['', 'Value', 'City View']"
6. Alva Hotel by Royal,https://www.tripadvisor.com/Hotel_Review-g294217-d17613159-Reviews-Alva_Hotel_by_Royal-Hong_Kong.html#REVIEWS,4.5,460,Alva Hotel by Royal,"No.1 Yuen Hong Street, Shatin, Hong Kong China",#41 of 802 hotels in Hong Kong,"ALVA HOTEL BY ROYAL is a new premium hotel with 618 rooms. It is highly accessible and within a 30 to 40-minute drive of Tsim Sha Tsui, Central and Hong Kong International Airport. The hotel offers guest-centric technology, innovative dining and accessible luxury with a modern lifestyle hospitality concept designed specifically for city-explorers.",5.0 of 5 stars,"English, Chinese","['', 'Romantic', 'Business']"
7. Dorsett Mongkok Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d1235711-Reviews-Dorsett_Mongkok_Hong_Kong-Hong_Kong.html#REVIEWS,4.5,5605,Dorsett Mongkok Hong Kong,"No. 88 Tai Kok Tsui Road Kowloon, Hong Kong China",#53 of 802 hotels in Hong Kong,"Best known for its service excellence and is conveniently located amid Tai Kok Tsui and Mongkok, with a mere 7-min walk away from the Olympic metro (MTR) station, Dorsett Mongkok is a proud recipient of TripAdvisor's Travellers' Choice' award for 11 years and one of the few EarthCheck's silver-certified green hotels in Hong Kong. Hotel facilities include smart bottle-filling water stations on selected guest floors, 24-hour fitness studio and self-service laundry, and Dorsett Kitchen serving light breakfast daily. Enjoy our Foodpanda room service menu available until late hours, and vending machine fully-stocked with refreshments and daily necessities.
Read more",4.0 of 5 stars,"English, Chinese","['', 'Family']"
"8. Cordis, Hong Kong",https://www.tripadvisor.com/Hotel_Review-g294217-d305813-Reviews-Cordis_Hong_Kong-Hong_Kong.html#REVIEWS,4.5,4344,"Cordis, Hong Kong","555 Shanghai Street, Mongkok, Kowloon, Hong Kong China",#31 of 802 hotels in Hong Kong,"Cordis, Hong Kong is an upscale 5-star hotel located in the vibrant Mongkok district of Kowloon. This 665 room modern hotel is directly linked to the Langham Place shopping mall and Mongkok MTR station. All rooms and suites are equipped with high speed wifi, LED TVs. Our wellness facilities include a fully equipped fitness center, two fitness studios and outdoor heated pool, along with the Chuan Spa, which features over 60 unique treatments. Dining options include the Michelin starred contemporary Cantonese restaurant, Ming Court, the trendy European restaurant and bar, Alibi – Wine Dine Be Social, and The Garage Bar, the new outdoor food truck destination bar, as well as The Place, the hotel’s all day dining restaurant. The hotel also features some of Hong Kong’s best meeting and event facilities including Kowloon’s highest ballroom, The Star Room, and the 600 seater Ballroom, which includes a 7m x 4m built in LED wall.
Read more",5.0 of 5 stars,"English, Chinese, Filipino","['', 'City View', 'Family']"
9. Regal Airport Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302173-Reviews-Regal_Airport_Hotel-Hong_Kong.html#REVIEWS,4.0,6956,Regal Airport Hotel,"No.9 Cheong Tat Road, Chek Lap Kok, Hong Kong International Airport, Hong Kong China",#151 of 802 hotels in Hong Kong,"Regal Airport Hotel Hong Kong has been recognized as the World's Best Airport Hotel by Business Traveller UK Magazine. Directly connected to the passenger terminal of Hong Kong International Airport and only a two-minute walk away, the Hotel is also in close proximity to the AsiaWorld-Expo convention centre. All 1,171 smoke-free guest rooms and suites have contemporary design and comfort is ensured by the double-glazed soundproof windows and comprehensive in-room amenities. Regal Airport Hotel Hong Kong also features world-class meeting facilities with 30 function rooms and one of the largest pillar-free grand ballrooms in a hotel equipped with a 9-meter width and 4-meter height HD LED wall. Additionally, the Hotel features a variety of authentic cuisine at its six restaurants and bars, and it has a complete range of recreational facilities including the award-winning OM Spa, state-of-the-art gym, an outdoor pool and an indoor heated swimming pool.
Read more",5.0 of 5 stars,"English, Chinese, Finnish, Italian and 1 more","['', 'Family', 'Business']"
