reviewer,date,location,contribution,help_vote,with_img,rating,review_title,review_content,date_of_stay,response_title,response_date,response_content,response_helpful,Hotel,Url
https://www.tripadvisor.com/Profile/ddcchhaann,Raisin C wrote a review Yesterday,"Hong Kong, China",3 contributions,,f,10,overcrowded lobby and awfully long check in queue,"已經遲過指定3:00pm checkin 時間到
4:30pm只是等check-in已經一小時
有兩個counter
50個人排隊

the queue to checkin has 50+ persons waiting
there are 2 counters
not enough seats for people
I stood for 1 hour
and this alone speaks for the rest of the stay",August 2023,,,,,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/visionermarcus,visionermarcus wrote a review Aug 10,,1 contribution,,f,30,Too many people,"Very average service and the condition of the room is not good.
The breakfast is getting worse and worse.
The quality of food is not acceptable. The choice of food is very limited. Capsule coffee machine should be provided in the guest room.",July 2023,"Response from Joe Lau, Guest Services / Front Office at Auberge Discovery Bay Hong Kong
Responded 2 weeks ago",2023-08-14,"Dear Guest,

Thank you very much for choosing to stay at Auberge Discovery Bay Hong Kong recently.
Your comments are extremely valuable and very much appreciated.

We are sorry to hear about the issues you experienced during your stay, in particular to the room condition, food quality and food choice issues. Your comment is very well noted as well, and we are following this up to improve the service.

Thanks once again for sharing your constructive feedback which is important in helping us to improve our services for you.

We hope to welcome you back to stay with us soon.

Warm regards,
Auberge Discovery Bay Hong Kong",,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/isabellafazala,isabellafazala wrote a review Aug 6,,1 contribution,,f,40,The view is wonderful,"Hotel front desk staff were nice and friendly but they weren’t make any eyes contact while talking to me, I wonder if they were shy
The room that I stayed was absolute amazing,I love it very much and definitely will coming back",August 2023,"Response from Joe Lau, Guest Services / Front Office at Auberge Discovery Bay Hong Kong
Responded 3 weeks ago",2023-08-06,"Dear Guest,

Thank you very much for choosing to stay at Auberge Discovery Bay Hong Kong recently.
Your comments are extremely valuable and very much appreciated. We hope to welcome you back to stay with us soon.

Warm regards,
Auberge Discovery Bay Hong Kong",,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/TravellingRashy26,TravellingRashy26 wrote a review Jul 2023,"Cebu Island, Philippines",1 contribution,,f,50,One of the best Hotel,"I would love to go back to this Hotel again because it has been my best hotel and provides you exceptional customer service, nice view, super clean, very relaxing, great meal, it has exceeded my expectations! Thank you for the great experience!",July 2023,"Response from Joe Lau, Guest Services / Front Office at Auberge Discovery Bay Hong Kong
Responded 4 weeks ago",2023-07-27,"Dear Guest,

Thank you very much for choosing to stay at Auberge Discovery Bay Hong Kong recently. We hope to welcome you back to stay with us soon.

Warm regards,
Auberge Discovery Bay Hong Kong",,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/haska7,haska7 wrote a review Jul 2023,Hong Kong,28 contributions,35 helpful votes,f,30,Average Hotel stay,Average hotel stay. The facilities can be improved especially in the children’s playroom and pillows were quite flat in the bed. Good views from the rooms and pool was fun. Food was average and overpriced. The hotel was clean and rooms had good amenities- refrigerator and tubs. Shampoo and body wash are poor quality.,July 2023,"Response from Joe Lau, Guest Services / Front Office at Auberge Discovery Bay Hong Kong
Responded 5 weeks ago",2023-07-24,"Dear Guest,
Thank you very much for choosing to stay at Auberge Discovery Bay Hong Kong recently and sharing your constructive feedback which is important in helping us to improve our services for you. Your comments are extremely valuable and very much appreciated. We hope to welcome you back to stay with us soon.

Warm regards,
Auberge Discovery Bay Hong Kong",,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Mrswc614,MrsWC wrote a review Jul 2023,"Hong Kong, China",13 contributions,18 helpful votes,f,50,Excellent getaway,"It was a farewell trip for the kids as some friends are relocating. We all loved the quiet yet convenient location. Marketplace nearby has everything you need. The restaurants offer very good quality food. Most importantly, the staff at the hotel make you feel very welcomed. Kudos to Jammy and the Concierge team.",July 2023,,,,,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/ireencheung,ireencheung wrote a review Jul 2023,,1 contribution,,f,10,Crayon Shin-Chan themed room staycation,It’s not worthy for its price to be honest. The catering service is awesome but the food is really bad. The room has limited Crayon Shin-Chan themed and no heart at all. Hotel staff is unfriendly and unwelcoming,July 2023,,,,,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/royt542,Roy T wrote a review Jun 2023,"Hong Kong, China",18 contributions,36 helpful votes,t,50,Quick trip..!,"We have a quick trip at this beautiful hotel with my wife and my grandson and a warm welcome right in front of the hotel with Jammy and Nathan and take us at the reception for a quick check in and introduce
the hotel facilities…very excited about our room so we went up on 15flr by the lift and happy about the room assignment and it was amazing with the view and the toilet with a small pool like. We order on Room service and it was fast service with a smiley face from our server. So it was short but relaxing stay at this gorgeous hotel and for sure we are coming back again.Thanks to all staff.",June 2023,,,,,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/jenfafa119,jenfafa119 wrote a review Jun 2023,"Hong Kong, China",1 contribution,,f,30,Causal Stay,"Overall a satisfactory staying experience… It was a relax trip and staff was friendly and helpful.
However, the room cleanliness need to be more improved, as well as the quality of buffet. The price of the buffet was not equivalent to the quality, not recommending.",June 2023,,,,,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/wingyan4150,wingyan4150 wrote a review Jun 2023,"Hong Kong, China",1 contribution,,f,20,Slippery Bathroom floor,Beware of the slippery floor in the bathroom! My 3 yo son fell and hit his head. Take extra care if traveling with small children. Do not let them run in the bathroom after they get out of the bathtub. The floor can get very slippery even with little water on it.,June 2023,"Response from Joe Lau, Guest Services / Front Office at Auberge Discovery Bay Hong Kong
Responded Jun 5, 2023",2023-06-06,"Dear guest,

Thank you very much for choosing to stay at Auberge Discovery Bay Hong Kong recently. Your comments are extremely valuable and very much appreciated.

We are sorry to hear about your experience during your stay, in particular to the bathroom. Our management has reviewed your case and we are in the process of following up with our relevant departments to take corrective actions and further enhance safety in bathroom. Your enjoyment and comfort of stay are highly concerned by us.

Thank you once again for sharing your constructive feedback which is important in helping us improve our service quality.

We hope to welcome you back to stay with us soon.

Warm regards,
Auberge Discovery Bay Hong Kong",,Auberge Discovery Bay Hong Kong,https://www.tripadvisor.com/Hotel_Review-g294217-d3349465-Reviews-Auberge_Discovery_Bay_Hong_Kong-Hong_Kong.html#REVIEWS
