reviewer,date,location,contribution,help_vote,with_img,rating,review_title,review_content,date_of_stay,response_title,response_date,response_content,response_helpful,Hotel,Url
https://www.tripadvisor.com/Profile/912ashleae,Ashlea E wrote a review Aug 9,"Plymouth, United Kingdom",349 contributions,119 helpful votes,f,40,Beautiful Hotel,"A beautiful hotel with lovely grounds, the most spacious out of all the Disney hotels in Hong Kong and the only one offering a quick service dining option. Also the world of color restaurant is amazing!",October 2022,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded 2 weeks ago",2023-08-10,"Dear 912ashleae,

Thank you for your recent stay at our Lodge and contributed your valuable time to write a review of your staying experience.

We are glad to know that you loved our gardens and enjoyed comfortable accommodation during your stay. Our F&B team is thrilled to know that you were provided with satisfactory dining experiences in our various restaurants. We hope your amazing stay can keep you a lastingly good memories!

Again, thanks for your nice note. We look forward to welcoming you and your family again to enjoy another Disney adventure. Hope to see you soon!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Safari48559138337,Safari48559138337 wrote a review Jul 2023,,1 contribution,,f,50,Wonderful Disney Experience for my Family,"It's our family's first time here at Disney's Explorer Lodge and we really had the best time ever!

We stayed for 2 nights as we were able to avail the special discount of 35% off. The hotel itself is really great. From the very spacious lobby, very plenty of rooms up to 8 floors, really big garden, nice amenities. Of course the gift shop at the lobby, and dining options at the 2nd floor.

The theme I guess for the gift shop is about Duffy and Friends. We bought some souvenir items - but honestly, we wished that there should've been more options to choose from (like from our experience before at gift shop in Disney's Hollywood hotel way back 2019).

We dined at Chart Room Cafe for lunch, take out for dinner, and breakfast the following morning. It's quite expensive though, but for experience, its worth the try.

As for the amenities, the garden is really nice. But our favorite was the pool! We weren't able to try the Disney Hollywood hotel pool before. That's why we see to it we try the pool here in Explorer's lodge. And wow - what a wonderful experience! Water is really comfortably warm. Good for families. How we love to stay there for longer period next time.

Our only regret though was that we did not encounter any Disney charaters during our 2 night stay at the hotel. Hope we will see them next time.

Overall, our experience at Disney's Explorers Lodge is wonderful and worth coming back again. A dream come true and a big check on our bucketlist. Should there be another opportunity to stay at a Disney hotel in Hong Kong, Explorer's Lodge will definitely on top of our list.

Thank you, everyone has been nice to us during our stay.

We love you Disneyland. Hope to be back soon!",July 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jul 22, 2023",2023-07-23,"Dear Safari48559138337,

Thank you for spending two nights at our Lodge recently and contributed your valuable time to write a review of your staying experience.

Thank you for your amazing 5-star rating! We are beyond glad to hear of your wonderful stay at our property enjoying the hotel environment and facilities. It is brilliant to know that you loved our gardens and pool where your family had enjoyed with tremendous fun! Our teams are truly motivated to receive your positive comments about all your experiences during your stay which have enhanced our team spirit. Thank you!

Your opinions about the variety of your shopping experience are noted, and will share with the relevant team for a further review. We treasure all our guests' comments which indeed, can perfect our service standard and enhance the guest experience. Thank you!

We look forward for your re-visit in a sooner future - as what you shared above, to stay at our resort for longer period next time! Hope to see you soon!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/tumkrubb,Patsakorn K. wrote a review Jul 2023,"Bangkok, Thailand",1 contribution,,f,50,My best birthday celebration is here!,"I stayed for enjoy the park and celebrate my birthday here.
If you come on your birthday, you'll receive ""Happy Birthday"" badge as well as you get in Hong Kong Disneyland Park with another version in the park. Cast members say ""Happy Birthday"" when they see this badge. It quite impressed me with heartwarming so much.

This place, cast members and purchased decorations had made my day with warmth welcome and service, especially for my birthday.

Room is well-decorated, kids-friendly, lovely and safe. Amenities is also lovely and good, especially amenities box. But I can't find the bed lamp switch.

For breakfast buffet, food and beverages are quite variety, but you have only 60 minutes for them. I think it should be extended to 75-90 minutes.

Although it's a little expensive, but it's value for money to get the best experience here, especially in this my special day.",June 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jul 19, 2023",2023-07-20,"Dear tumkrubb,

Thank you for choosing to stay at our Lodge to celebrate your birthday. We appreciate your time contributed to write a review with 5-star of your staying experience.

It is glad to know of your wonderful stay with us enjoying the accommodation and our Cast Members' services. We are delighted to hear that our birthday amenities and courtesy had impressed you. We hope they can keep you a good lastingly memory!

Your comment regarding the dining duration of breakfast is well noted and will be shared with the teams. Thank you for your opinions which indeed, can perfect our service standard and enhance the guest experience.

We look forward to welcoming you back for another wonderful Disney stay! Please take good care!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/hard_traveler214,hard_traveler214 wrote a review Jul 2023,philippines,147 contributions,59 helpful votes,t,50,Family time in Disney HongKong...,"Nice stay at this Disney Hotel... We stayed here during the summer season of HongKong... Lobby was nice and check in was fast...

The rooms were big and clean, appreciated the Disney inspired slippers and souvenir tin cans...

Nice family pool and a Boulevard with a sunset view...

Travel to and from Disneyland HK was fast...

Hotel Food was in the high side, what else is new😉 But it's a nice way to enjoy your time in the Park",July 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jul 10, 2023",2023-07-11,"Dear hard_traveler214,

Thank you for your recently stay at our Lodge. We appreciate your time contributed to write a review of your staying experience.

We are truly thrilled to be scored with 5-star rating by our honorable guests to tell us of their satisfactory stay at our property, enjoying our hotel environment, accommodation, facilities and our Cast Members service excellence. We are glad to know that our in room amenities have impressed you! Your positive comments are one of the important highlights during the week we received and will definitely be shared with our teams - certainly your note will be an added value to our team spirit. Thank you !

We look forward for your revisit stay soon, it will be be such a pleasure to seeing you and your family again!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/lookATme1985,Andrew Tjandradjaya wrote a review Jul 2023,"Bali, Indonesia",10 contributions,4 helpful votes,f,50,Good,"Nice experience, family hotel, we love the swimming pool and all the things in the room here. My kids enjoy the stay very much. The staff are helpful here, fast response as well. If you want to explore disneyland, this is the right place to stay, they provide shuttle bus every 10 minutes to disneyland",July 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jul 5, 2023",2023-07-06,"Dear lookATme1985,

Thank you for your recent stay at our Lodge. We appreciate your valuable time contributed to write a review of your staying experience.

Much obliged for your 5-star rating which is truly amazing! We are glad that you and your family loved our hotel, enjoying our room, hotel environment and facilities as well as our Cast Members' services. It is always rewarding to receive compliments from our guests to tell us of their unique and wonderful time they had experienced. Your benevolent note is certainly an added value to our team spirit. Thank you!

We hope your recent wonderful experiences can keep lastingly till your next stay to our Lodge to repeat another wonderful Disney experience.

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Compass39698725080,Compass39698725080 wrote a review Jun 2023,,1 contribution,,f,50,Great family experience,"The hotel was up to par with its theme and the whole family was very much excited when we first stepped into the lobby. Overall experience in terms of service, hotel rooms, restaurants, shops, shuttle bus, and especially the park experience was superb and we were very happy. Only thing we noted is that the toilet has no bidet. Haha. Overall, it was value for money.",June 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jul 1, 2023",2023-07-02,"Dear Compass39698725080,

Thank you for your recent stay at our Lodge and appreciate your time provided to share your enjoyable staying experience with us.

Our teams are truly motivated and highly encouraged by your positive comments to tell us the impressive Disney journey that you and your family had experienced during your stay. Your 5-star rating certainly uplifted the morale of our teams and your kind words will definitely be shared with our Cast Members. Thank you!

We hope to see you soon in the near future.

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/mnldeh-mnljoa,mnldeh-mnljoa wrote a review Jun 2023,"Metro Manila, Philippines",25 contributions,16 helpful votes,f,50,Always magical in Disney,"For context, we stayed for 2 nights in a suite at Gateway Hotel with a huge living room, a huge CR with a tub, and nespresso for coffee.

But will try to be as objective as i can and not compare the 2 hotels :)

Disney is Disney. We chose to stay here for the kids to experience the magic of disney. THe staff were nice. Check in was relatively smooth coz we arrived before the hoards of other guests came. Check out was a breeze as they just ask you to leave the keys in the drop box.

They have 2 big 1.5 Liters of bottled water. This is such a plus for us as we are big water drinkers. These bottles, you can also bring to the park. And they replenished our water supply the next day.

Coffee is nescafe and creamer is the liquid coffee mate (i appreciate this because i love liquid creamers). I dont however, like nescafe instant. (sorry, couldnt help but compare to Gateway's Nespresso machine)

They also have an ice machine. We got the 2 day park tickets and the ice machine was such a life saver. We filled our bottles with ice so we had ice cold water in the park. SUCH a life saver because it was SOOOOOOO hot in the park.

The restaurants are, as expected, pricey. BUT it was such a pleasant surprise that the food tasted good. Chart cafe's food is good. the ribs were actually a good value at HKD149. pizza was too expensive at almost 300 hkd tho.

Play area is ok, kids enjoyed.

Happy that they had some disney channels tho i didnt realize right away that the movies were just on loop the whole day.

Thankful that the staff granted our request to have a room with a nook, however, our room was too far from the elevators. The hotel is HUGE and there are soooo many rooms.

Overall, we had a magical stay.",June 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jun 27, 2023",2023-06-28,"Dear mnldeh-mnljoa,

Thank you for your recent stay at our Lodge. Your time contributed to write a detailed review of your staying experience is appreciated.

We are glad to be shared of your overall enjoyment at our property, with the 5-star rating to tell us of your pleasant experiences in your accommodation, facilities and Cast Members' services. Thanks for your comments about coffee machine and Disney channels - we treasure all our guests' opinions which indeed, can perfect our service standard and guest experience. Thank you!

We look forward to welcoming you back to enjoy another Disney experience. It will be such a pleasure to seeing you and your family again!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Raditya16,Raditya wrote a review Jun 2023,Indonesia,1 contribution,,f,50,This hotel is the best staycation place with family,"This was my first time visit to Disney hotel in Hong Kong. We stayed at the Explorer Lodge. We got a spaciuos room and I love the view from my room.

Will we come back to this hotel? Well, definetly yes! As both of my kids are happy, I’m happy!",June 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jun 27, 2023",2023-06-28,"Dear Road35096227591,

Thank you for choosing our Lodge as the destination for staycation with your family. Your time contributed to write a review of your stay is appreciated.

It is glad to know that you love our hotel and spent wonderful time with your family during your stay. Delivering happiness to our guests is our priority and it certainly uplifts our team spirit when we are told by our guests for their enjoyment! Hope a lastingly Disney happiness can keep!

We passionately look forward to welcoming you and your back in a not too distant future! Hope to see you soon!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/637williel,Willie L wrote a review Jun 2023,"Jakarta, Indonesia",1 contribution,,f,50,Great stay at Explorer Lodge,The room is spacious and very kids friendly. It is a very good place to stay if you want to enjoy Disneyland park from opening until closing. They provide soft and hard pillow which is very good for people with different personal choice of pillow.,June 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jun 27, 2023",2023-06-28,"Dear 637williel,

Thank you for your recent stay at our Lodge and write a feedback note of your staying experience at our property.

Your 5-star rating is appreciated. Thank you! It is always thrilled and rewarding to receive positive comments from our guests for their enjoyable stay, which was well-entertained with our accommodation, hotel environment and facilities. Your kind note is definitely an added value to our team spirit.

We hope to see you soon in your re-visit stay with us! Thank you!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Climber06835494748,Climber06835494748 wrote a review Jun 2023,,1 contribution,,f,50,Perfect Stay,"Swift check-in & check-out.

Big rooms, fluffy pillows perfect for a good night sleep after a day of exploring the park.

There's so much to explore around the hotel. Facilities are well maintained. There are also lots of activities to do esp for kids.",June 2023,"Response from DEL GSM, Guest Services / Front Office at Disney Explorers Lodge
Responded Jun 26, 2023",2023-06-27,"Dear Climber06835494748,

Thank you for your recent stay at our Lodge and contributed your valuable tome to write a review to share your staying experience.

It is always rewarding to receive full score rated by our honorable guests to acknowledge their wonderful stay at our property, enjoying the services, facilities and activities - those are cheers with encouragement and will definitely be shared with our teams. Much obliged for driving up our teams' motivation!

We very much look forward to welcoming you back in a not too distant future. Hope to see you soon!

Best Regards,

Michael Lock
Senior Manager, Hotel Operations",,Disney Explorers Lodge,https://www.tripadvisor.com/Hotel_Review-g294217-d12157399-Reviews-Disney_Explorers_Lodge-Hong_Kong.html#REVIEWS
