reviewer,date,location,contribution,help_vote,with_img,rating,review_title,review_content,date_of_stay,response_title,response_date,response_content,response_helpful,Hotel,Url
https://www.tripadvisor.com/Profile/Juntan1967,Juntan1967 wrote a review Aug 23,,1 contribution,,f,10,The worst hotel yet!,"I've been traveling around the world and your hotel is the worst hotel I've ever stayed in. Your rooms are so antiquated and the beds are so hard. You have only one(1) electrical outlet in the room. How can a hotel room have only one(1) electrical outlet. You can't even provide adapters for us to use with HK outlets.

The lounge service is terrible, The lounge opens at 12nn and it closes at 8pm, which is kinda stupid since it's supposed to be a meeting area for your guests any time of the day. When you pass 745pm. They would tell you to leave and we should leave our unfinished drinks on the table. When we wanted to get water and bring them to our room, They would not allow us, they informed us that we should call the front desk to ask for water. When we called the front desk for six(6) bottles of water to be brought up to the room, they refused, they will only provide us four(4) bottles. Is that how you treat your hotel guests? If we didn't stay at your executive floors, How poorly would you treat your regular guests.

Your drinks selection are terrible. How can you serve cheap liquor to your VIP's.

Your Buffet area is big but the food is unappetizing and unpalatable.

Overall, It was a horrendous experience for me and my children. I refuse to stay in your hotel in the future. There are so many hotels that would give us way better quality and service with the same amount of money.

Good Day!",August 2023,,,,,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/chenbob,Philomene wrote a review Feb 2023,"Bangkok, Thailand",139 contributions,179 helpful votes,f,40,Nice Stay,"The hotel location was so convenient. You are in the middle of the eateries and shopping area. The staff spoke fluent English. The rooms was a bit dated but still nice and quite big
. The bed was comfy.",February 2023,,,,8,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/ParitoshKumarS2,Paritosh Kumar S wrote a review Aug 20,"Houston, Texas",1 contribution,1 helpful vote,f,10,No Wifi...No room service...Old & torn furniture,It was an absolute disaster of a stay...the room wifi did not work....the telephone line was dead.....the curtains were torn....and they dont accept your online food delivery order....very bad experience overall.,August 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review.
We have taken note of your comments that are referred to the related Department Heads for improvement.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",1,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/lyric2017,lyric2017 wrote a review Aug 11,"Paris, France",2 contributions,1 helpful vote,f,20,Old room. Bad bad service. Good location.,"Good location. Old room. Really basic service. Don’t expect anything from this hotel : wifi is bad, room are barely clean, it’s noisy, it takes forever to check in with only 3 staffs for check in, the sink was blocked, no refill of soap or shampoo for days, etc…",August 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review. It is truly appreciated.
We are sorry to learn your comments about room condition and they were referred to related Department Heads for improvement.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",1,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/995alvinc,Alvin C wrote a review Aug 9,,1 contribution,,f,50,Highly Recommended,"Our room was big and comfy. All the staff were very nice and accomodating. We had a great time.

The location was great. It is near to shopping malls and nearby food stalls and restaurants were great as well.",August 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review. It is truly appreciated.
We are glad to learn that you had an enjoyable stay with us.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/S455CPminas,Mina S wrote a review Aug 9,,1 contribution,,f,50,Relaxing stay at Regal Hongkong Hotel,"Great value for money! Had a relaxing stay at Regal Hongkong Hotel. All staff/management were really nice and helpful. They gave us a room with a nice view!❤️

Spacious room with bath tub and shower + espresso machine in our room!❤️",August 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review. It is truly appreciated.
We are glad to learn that you had an enjoyable stay with us.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Mobile65293661466,Mobile65293661466 wrote a review Jul 2023,,1 contribution,,f,40,Spacious rooms and great service,"Staff were all very helpful and accomodating. They all were friendly too. Regarding the rooms they were spacious and perfect for a family of 4 with 2 queen beds- which is rare! Easy location too!
Shout out to Dennis, the manager who was exceptional in service and hospitality!",July 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review.
We are glad to learn that you had an enjoyable stay with us.
Your kind words to Dennis is much appreciated.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Explorer17428291987,Kazemi li wrote a review Jul 2023,"Hong Kong, China",1 contribution,,f,50,一次難忘嘅體驗,"本人於agoda.com 訂了一間房間, 由於系統問題 導致系統幫我訂咗兩間房在同一日， 而且不能取消或退款。 已經立刻跟agoda聯絡, 但他們堅持係本人嘅問題無法取消。 到check in當日跟前枱同事解釋, 很可惜前枱你們嘅同事joyce， 好似機械式咁樣答覆, 沒有解決問題。 幸好遇到你哋嘅客戶體驗經理Dennis， 非常之耐心聽我講解情況。 我都作出相對嘅跟進， 我明白booking有問題並非你們的責任。 但至少我見到Dennis 你真心了解我嘅苦況， 並作出相對的安排。 令到我覺得你哋嘅服務唔係機械式, 而係有為顧客著想。
To Dennis: Really appreciated your prompt reply and action under my situation, your excellent service is worthy of recognition and praise. Thank you for give me a wonderful day at Regal hotel.",July 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review. It is truly appreciated and your kind words to Dennis.
We are glad to learn that you had an enjoyable stay with us.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Navigator33749816339,Navigator33749816339 wrote a review Jul 2023,,1 contribution,,f,50,Great service and clean environment,"One of the best hotel experience I’ve had so far! Room was very spacious and clean.Very good complimentary service and Checking in was super smooth! Good facilities such 24/7 gym and a rooftop swimming pool. While Checking-in , a staff named Dennis was very friendly and super helpful . He asked us whenever we needed anything for the room we could ask him for help! Really great service ! Would strongly recommend Regal HongKong Hotel for your next stay!",July 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review. It is truly appreciated.
We are glad to learn that you had an enjoyable stay with us.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
https://www.tripadvisor.com/Profile/Bss0327,Bss0327 wrote a review Jul 2023,,3 contributions,1 helpful vote,f,10,Moldy smelling and tired,"I’ve stayed at Regal before and thought it was worth coming back to. Unfortunately after this stay, I won’t be back.

I checked in today and I am in a room that is damp and moldy smelling. Spoke to front desk and they moved me to another room that is just as damp and moldy. Not only that, the shower does not drain. It took some persuasion to get a dehumidifier. I’m here for 13 days and know that I will be sick before I leave as I have allergies to mold.",July 2023,"Response from Regal Hongkong Hotel, General Manager at Regal Hongkong Hotel
Responded 1 week ago",2023-08-21,"Dear Guest,
Thank you for your review.
We have taken note of your comments and our Executive Housekeeper had direct contact you in person for necessary arrangement.

We look forward to welcoming you back to the Regal Hongkong Hotel in a not distant future.

Warmest regards
Christo Diamandopoulos
General Manager, Regal Hongkong Hotel",1,Regal Hongkong Hotel,https://www.tripadvisor.com/Hotel_Review-g294217-d302174-Reviews-Regal_Hongkong_Hotel-Hong_Kong.html#REVIEWS
